Type,beneficial_inst_P,neutral_inst_P,deleterious_inst_P,beneficial_inst_S,neutral_inst_S,deleterious_inst_S,beneficial_mean_P,neutral_mean_P,deleterious_mean_P,beneficial_mean_S,neutral_mean_S,deleterious_mean_S,dNdneutral_1,dNdneutral_2,dNdneutral_3,dNdneutral_4,dNdneutral_5,dNdneutral_6,dNdneutral_7,dNdneutral_8,dNdneutral_9,dNdneutral_10,dNdneutral_11,dNdneutral_12,dNdneutral_13,dNdneutral_14,dNdneutral_15,dNdneutral_16,dNdneutral_17,dNdneutral_18,dNdneutral_19,dNdneutral_20,dNdneutral_21,dNdneutral_22,dNdneutral_23,dNdneutral_24,dNdneutral_25,dNdneutral_26,dNdneutral_27,dNdneutral_28,dNdneutral_29,dNdneutral_30,pNpneutral_1,pNpneutral_2,pNpneutral_3,pNpneutral_4,pNpneutral_5,pNpneutral_6,pNpneutral_7,pNpneutral_8,pNpneutral_9,pNpneutral_10,pNpneutral_11,pNpneutral_12,pNpneutral_13,pNpneutral_14,pNpneutral_15,pNpneutral_16,pNpneutral_17,pNpneutral_18,pNpneutral_19,pNpneutral_20,pNpneutral_21,pNpneutral_22,pNpneutral_23,pNpneutral_24,pNpneutral_25,pNpneutral_26,pNpneutral_27,pNpneutral_28,pNpneutral_29,pNpneutral_30
Pseudo,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9802083333333333,0.9744791666666667,1.03125,1.0182291666666667,0.9942708333333333,1.0302083333333334,1.0140625,0.9807291666666667,0.9776041666666667,0.9848958333333333,0.953125,1.01875,1.0041666666666667,1.009375,0.9734375,0.9765625,1.0260416666666667,0.9708333333333333,1.0114583333333333,0.9854166666666667,0.9421875,0.9651041666666667,0.9953125,0.9833333333333333,0.9953125,0.9958333333333333,1.0067708333333334,1.0104166666666667,1.0203125,1.0125,0.9960112500000001,1.040298515625,1.026346640625,0.960114921875,0.998630234375,0.9940625781249999,1.01934671875,0.97583640625,0.9868421093749999,0.977092734375,1.0020235937500002,1.01695984375,1.0186421875,0.9784283593750001,1.0185095312499999,0.9724499218749999,1.004412890625,0.9705188281250001,1.037715,1.019589296875,1.026131953125,1.0048242968749999,0.9937002343750001,1.0351565624999999,0.9832352343749999,1.0128249999999999,1.013343984375,0.9977724218749999,0.978890390625,0.984418046875
Neutral,0.0,0.18036911012630708,0.8196308898736929,0.0,0.9241615213859105,0.07583847861408947,0.0,0.18036911012630708,0.8196308898736929,0.0,0.9241615213859105,0.07583847861408947,0.11875,0.10833333333333334,0.1078125,0.11041666666666666,0.11302083333333333,0.09791666666666667,0.09791666666666667,0.10208333333333333,0.1140625,0.0984375,0.11354166666666667,0.0984375,0.11041666666666666,0.11614583333333334,0.11041666666666666,0.11458333333333333,0.09479166666666666,0.11614583333333334,0.1140625,0.10208333333333333,0.096875,0.1109375,0.10729166666666666,0.08333333333333333,0.10572916666666667,0.0953125,0.09427083333333333,0.1,0.1015625,0.10416666666666667,0.14313359375,0.13690921875,0.1249315625,0.1101871875,0.12231687500000002,0.1167409375,0.127777421875,0.11994750000000001,0.11811539062500001,0.14192828125,0.11829359375,0.13036976562499997,0.138749765625,0.12172960937499999,0.141289609375,0.11778304687499999,0.12750273437499998,0.123518828125,0.14379999999999998,0.140375703125,0.12417640625000001,0.156183203125,0.13224773437499998,0.134723828125,0.11812078125,0.126515078125,0.13411898437499997,0.11310046874999999,0.132284609375,0.13406570312500002
Adaptive,0.04735569902384494,0.16643671569733112,0.7862075852788238,0.9693556233443525,0.02778890664546597,0.002855470010181431,0.04735569902384494,0.16643671569733112,0.7862075852788238,0.9693556233443525,0.02778890664546597,0.002855470010181431,3.64375,3.5640625,3.6479166666666667,3.5552083333333333,3.654166666666667,3.5833333333333335,3.5619791666666667,3.5963541666666665,3.5765625,3.496354166666667,3.4932291666666666,3.5755208333333335,3.629166666666667,3.535416666666667,3.5614583333333334,3.6703125,3.5677083333333335,3.6411458333333333,3.5703125,3.576041666666667,3.5885416666666665,3.566666666666667,3.5619791666666667,3.613541666666667,3.6234375,3.5458333333333334,3.5375,3.6098958333333333,3.6390625,3.583854166666667,0.17846390625000003,0.246115625,0.200649296875,0.21802656250000002,0.179039296875,0.193578984375,0.21181617187499996,0.22687343750000002,0.205725703125,0.22051085937500003,0.206357109375,0.213499375,0.200750546875,0.18394015625,0.203995078125,0.20114421875000002,0.190105625,0.1954153125,0.20936273437499997,0.212759375,0.218826484375,0.22594328125000002,0.21534781249999999,0.19013140625000002,0.214064921875,0.19488875,0.1869428125,0.207909375,0.18179234375000003,0.185897421875
Neutral_dom,0.0,0.16386159547099705,0.8361384045290029,0.0,0.9168364894565266,0.08316351054347344,0.0,0.16386159547099705,0.8361384045290029,0.0,0.9168364894565266,0.08316351054347344,0.10104166666666667,0.10989583333333333,0.10885416666666667,0.096875,0.11822916666666666,0.115625,0.11041666666666666,0.10416666666666667,0.10104166666666667,0.0984375,0.103125,0.11875,0.10364583333333334,0.10677083333333333,0.1078125,0.09427083333333333,0.12291666666666666,0.12552083333333333,0.11822916666666666,0.1109375,0.10989583333333333,0.1,0.11041666666666666,0.10885416666666667,0.121875,0.11614583333333334,0.0984375,0.10833333333333334,0.10677083333333333,0.11770833333333333,0.13715765625,0.144305859375,0.14535546875,0.15614625,0.155912265625,0.16909984375000003,0.13706812499999999,0.15029820312500003,0.140222578125,0.14552218749999998,0.14320992187499998,0.1412496875,0.148818359375,0.15304226562499998,0.13710632812499998,0.146421875,0.146408828125,0.15737507812499998,0.140286328125,0.14588921875,0.14531882812500002,0.15937359375,0.144273046875,0.12916617187499999,0.158237265625,0.144731953125,0.14060867187499998,0.13831984375,0.129019140625,0.13592265625
Adaptive_dom,0.059631090014685376,0.1466750936348894,0.7936938163504254,0.9791651700598745,0.018360739770627504,0.0024740901694981095,0.059631090014685376,0.1466750936348894,0.7936938163504254,0.9791651700598745,0.018360739770627504,0.0024740901694981095,5.278645833333333,5.347395833333334,5.209895833333333,5.316666666666666,5.280729166666666,5.3,5.2734375,5.399479166666667,5.253645833333334,5.3,5.2953125,5.227604166666667,5.313020833333334,5.261979166666666,5.2609375,5.258854166666667,5.263541666666667,5.322916666666667,5.265625,5.286458333333333,5.330729166666667,5.2796875,5.217708333333333,5.25,5.226041666666666,5.302604166666667,5.276041666666667,5.235416666666667,5.205208333333333,5.250520833333334,0.294870390625,0.2953911718750001,0.27670164062499997,0.31583187500000004,0.28937390625,0.32965132812500003,0.2899178125,0.32054414062500003,0.30834171875000005,0.295630859375,0.297552421875,0.32070570312499996,0.30604624999999996,0.30696804687499996,0.315045625,0.29701609375000004,0.290381953125,0.334516171875,0.279849375,0.29482515625000005,0.28917515624999995,0.29772999999999994,0.294344609375,0.294585234375,0.30438796875,0.27981749999999994,0.30612578125,0.31140726562500004,0.30009109375000004,0.29446640625000003
AdapTrack_stablespace20,0.02583507306889354,0.17562630480167013,0.798538622129436,0.2625000000000001,0.5906249999999996,0.14687500000000003,0.021659707724425895,0.17562630480167013,0.8027139874739041,0.3656249999999998,0.5906249999999996,0.043749999999999976,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125,0.130764453125
AdapTrack_dom,0.022411218632023777,0.157644257221665,0.8199445241463112,0.015143301302245131,0.9088760142912045,0.07598068440655042,0.01752996942220443,0.157644257221665,0.8248257733561305,0.014071097172114484,0.9088760142912045,0.07705288853668106,0.10052083333333334,0.10572916666666667,0.1,0.1046875,0.11979166666666667,0.10520833333333333,0.11666666666666667,0.10052083333333334,0.1125,0.11458333333333333,0.09947916666666666,0.1125,0.09583333333333334,0.10572916666666667,0.10208333333333333,0.10572916666666667,0.10260416666666666,0.10364583333333334,0.10520833333333333,0.10885416666666667,0.10364583333333334,0.1015625,0.10052083333333334,0.10572916666666667,0.10989583333333333,0.09947916666666666,0.11666666666666667,0.1109375,0.09583333333333334,0.11510416666666666,0.14418054687499998,0.155225703125,0.134151484375,0.1724796875,0.152344609375,0.137875625,0.15910171874999998,0.127487421875,0.151133828125,0.134570625,0.14720390625,0.16985421875,0.16478664062499998,0.162240390625,0.13995453124999999,0.15179437499999998,0.1660346875,0.147628203125,0.146861328125,0.15877296875,0.15345648437499998,0.151164453125,0.15043796875,0.141589921875,0.1613203125,0.14526789062499998,0.15701125,0.142347265625,0.15933953125,0.1441353125
AdapTrack_env2,0.03454555463352508,0.16950786756411718,0.7959465778023576,0.7338549930491899,0.0796950037621495,0.18645000318866067,0.04159859291863815,0.16950786756411718,0.788893539517245,0.9125961233160258,0.0796950037621495,0.007708872921824744,1.3776041666666667,1.5791666666666666,1.1739583333333334,1.3989583333333333,1.1817708333333334,1.2234375,1.1671875,1.2666666666666666,1.3239583333333333,1.1291666666666667,1.0729166666666667,1.3963541666666666,1.3020833333333333,1.2401041666666666,1.1291666666666667,1.41875,1.1604166666666667,1.39375,1.275,1.3510416666666667,1.2,1.1223958333333333,1.3984375,1.3770833333333334,0.9885416666666667,1.3364583333333333,1.2536458333333333,1.0557291666666666,1.0859375,1.3614583333333334,0.171651640625,0.18712164062499997,0.173138046875,0.19388125,0.1940678125,0.17106609375,0.20007976562500002,0.21377523437499998,0.19207796875,0.18676484374999996,0.17897007812500002,0.161677109375,0.19081843750000002,0.18779453125,0.19042890625,0.1680621875,0.18085703125000002,0.18731203125,0.19828132812500002,0.198628671875,0.1874353125,0.17371117187500001,0.1816975,0.176235234375,0.18481632812499998,0.160067109375,0.19430804687499997,0.167004375,0.18976046875000002,0.15547781249999998
AdapTrack_env5,0.022900863067644547,0.17576605701292305,0.8013330799194324,0.49196491200343023,0.2905062055406982,0.21752888245587157,0.0240958780964839,0.17576605701292305,0.800138064890593,0.6834945489594662,0.2905062055406982,0.02599924549983551,0.37447916666666664,0.3546875,0.375,0.3609375,0.3567708333333333,0.340625,0.3765625,0.38229166666666664,0.29270833333333335,0.32864583333333336,0.28020833333333334,0.328125,0.32395833333333335,0.3260416666666667,0.3697916666666667,0.33229166666666665,0.36875,0.37604166666666666,0.34791666666666665,0.3296875,0.3453125,0.334375,0.37135416666666665,0.39427083333333335,0.32395833333333335,0.32708333333333334,0.33958333333333335,0.3697916666666667,0.35625,0.3302083333333333,0.14533960937499998,0.13505546875,0.15712968749999998,0.15538531249999998,0.128027578125,0.14100046875,0.13335179687499998,0.14523851562499998,0.158533515625,0.13672804687499998,0.167451015625,0.136081171875,0.147115703125,0.151636015625,0.14516445312499998,0.17195546875,0.160536796875,0.1383125,0.14967929687499998,0.14100359375,0.141870703125,0.136508203125,0.13778734375,0.133234765625,0.130506953125,0.135481328125,0.16365304687499999,0.15649640625,0.134069765625,0.1498153125
AdapTrack_env10,0.02043354747901717,0.17650715642748274,0.8030592960935,0.20180601626527842,0.647195285815371,0.15099869791935064,0.01827082562186091,0.17650715642748274,0.8052220179506564,0.2998566936378407,0.647195285815371,0.05294802054678841,0.15052083333333333,0.1453125,0.165625,0.14583333333333334,0.1578125,0.16458333333333333,0.14270833333333333,0.15416666666666667,0.1515625,0.1421875,0.1609375,0.15885416666666666,0.1578125,0.16041666666666668,0.146875,0.15052083333333333,0.146875,0.16145833333333334,0.15625,0.17864583333333334,0.140625,0.14739583333333334,0.14375,0.15677083333333333,0.15416666666666667,0.15416666666666667,0.14947916666666666,0.1453125,0.1453125,0.16822916666666668,0.120250546875,0.128016953125,0.135442578125,0.13969125,0.13523468749999998,0.150089609375,0.12742546875,0.15072093749999999,0.140704765625,0.12861828125,0.13343703125,0.1227603125,0.13366796875,0.15254023437499997,0.1471346875,0.13897328125,0.142079765625,0.12299046875,0.129979296875,0.10927765625,0.1458575,0.139919609375,0.115175,0.11129898437499999,0.131308828125,0.12247703125,0.128344609375,0.13124023437500001,0.142475078125,0.13259742187499998
